trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
AIR_4344_V7_M,16:27:00,16:27:00,90406,13,0,0
AIR_4346_V55_M,08:39:00,08:39:00,90401,1,0,0
AIR_4346_V55_M,08:41:00,08:41:00,90402,2,0,0
AIR_4346_V55_M,08:42:00,08:42:00,90403,3,0,0
AIR_4346_V55_M,08:43:00,08:43:00,90404,4,0,0
AIR_4346_V55_M,08:47:00,08:47:00,90405,7,0,0
AIR_4346_V55_M,08:57:00,08:57:00,90406,13,0,0
AIR_4348_V6_M,17:09:00,17:09:00,90401,1,0,0
AIR_4348_V6_M,17:11:00,17:11:00,90402,2,0,0
AIR_4348_V6_M,17:12:00,17:12:00,90403,3,0,0
AIR_4348_V6_M,17:13:00,17:13:00,90404,4,0,0
AIR_4348_V6_M,17:17:00,17:17:00,90405,7,0,0
AIR_4348_V6_M,17:27:00,17:27:00,90406,13,0,0
AIR_4348_V7_M,17:09:00,17:09:00,90401,1,0,0
AIR_4348_V7_M,17:11:00,17:11:00,90402,2,0,0
AIR_4348_V7_M,17:12:00,17:12:00,90403,3,0,0
AIR_4348_V7_M,17:13:00,17:13:00,90404,4,0,0
AIR_4348_V7_M,17:17:00,17:17:00,90405,7,0,0
AIR_4348_V7_M,17:27:00,17:27:00,90406,13,0,0
AIR_4348_V55_M,09:39:00,09:39:00,90401,1,0,0
AIR_4348_V55_M,09:41:00,09:41:00,90402,2,0,0
AIR_4348_V55_M,09:42:00,09:42:00,90403,3,0,0
AIR_4348_V55_M,09:43:00,09:43:00,90404,4,0,0
AIR_4348_V55_M,09:47:00,09:47:00,90405,7,0,0
AIR_4348_V55_M,09:57:00,09:57:00,90406,13,0,0
AIR_4350_V55_M,10:39:00,10:39:00,90401,1,0,0
AIR_4350_V55_M,10:41:00,10:41:00,90402,2,0,0
AIR_4350_V55_M,10:42:00,10:42:00,90403,3,0,0
AIR_4350_V55_M,10:43:00,10:43:00,90404,4,0,0
AIR_4350_V55_M,10:47:00,10:47:00,90405,7,0,0
